state,court,ai_type,applies_to,source,rg_applicable_to,consequence,date,id,judge,link,name,req_certify_all,req_certify_if_ai,req_disclose,req_evidence,req_how,req_prohibited,req_prompts,req_proprietary,req_rules,req_sections,req_tool,req_verify,req_warning,summary,type
Texas,E.D. Tex.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2025-07,515,Magistrate Judge K. Nicole Mitchell,https://docs.justia.com/cases/federal/district-courts/texas/txedce/6:2024cv00375/233418/19/,E.D. Tex. – Magistrate Judge K. Nicole Mitchell,,,,,,,,,Local Rule CV-II(g),,,,checked,"In Wilt v. Whitehouse Indep. Sch. Dist., 2025 U.S. Dist. LEXIS 166048 (E.D. Tex. July 22, 2025), the defendant identified various hallucinated citations in the pro se plaintiff’s opposition brief to the defendant’s motion to dismiss. Though the plaintiff acknowledged the questionable nature of her citations in her sur-reply brief, she asked the court to “overlook these ‘misrepresented’ cases.” According to Magistrate Judge Mitchell, because the citations were “fabricated” and “flagrant misrepresentations” of the law, these citations could not be ignored. The court reminded the parties of their responsibilities under Local Rule CV-II(g) to “review and verify any computer-generated content” given the rise of “certain technologies [that] may produce factually or legally inaccurate content.” Although the court declined to impose any sanctions because of the plaintiff’s pro se status, it warned her that, should she continue to cite nonexistent authority in violation of Local Rule CV-II(g), she could face stricken pleadings and filings, “filing restrictions,” claims dismissals, and “monetary penalties.”",Judicial Opinion
Northern Mariana Islands,N. Mar. I. Supreme Court,Gen AI,"Attorneys,Pro Se Litigants",rg,Generative AI Usage|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Parties,sanctions_party,2025-07,516,Judge Kenneth L. Govendo,http://cnmilaw.org/pdf/supreme/2025-MP-04.pdf,N. Mar. I. Supreme Court – Judge Kenneth L. Govendo,,,,,,,,,,,,,,"In N. Marianas Coll. v. Zajradhara, N. Mar. I. LX 294738 (N. Mar. I. July 22, 2025), a pro se plaintiff, in an appeal of a preliminary injunction, filed over forty documents with the Supreme Court Clerk of Court and “cited numerous false legal authorities and hallucinated cases.” The plaintiff also filed duplicative motions, introduced argument outside of the appeal, and “sent inflammatory emails to opposing counsel and judicial staff, often including several unrelated parties as recipients.” As a result, defendant moved the court to sanction plaintiff for his citations to hallucinated case law and failure to comply with Supreme Court Rules. In response to the court’s show cause order, the plaintiff attributed his “noncompliant brief to his pro se status and lack of resources.” The court was not convinced, and found that plaintiff repeatedly violated Supreme Court Rules, failed to maintain professional decorum, and submitted numerous filings devoid of legal merit. Accordingly, the court deemed plaintiff a vexatious litigant in the courts of the Commonwealth and subjected him to a pre-filing order to prevent any further misconduct and unnecessary expenditure of judicial resources. The court also dismissed plaintiff’s appeal with prejudice.",Judicial Opinion
Pennsylvania,M.D. Pa.,Gen AI,"Attorneys,Pro Se Litigants",rg,Generative AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2025-07,517,Judge Daryl F. Bloom,https://www.govinfo.gov/app/details/USCOURTS-pamd-4_25-cv-00235/USCOURTS-pamd-4_25-cv-00235-0,,,,,,,,,,,,,,checked,"In the court’s order dismissing the pro se plaintiffs’ amended complaint in Rotharmel v. Dauphin Cnty. Child. & Youth Servs., 2025 U.S. Dist. LEXIS 138723 (M.D. Pa. July 11, 2025), the court discussed a letter filed on behalf of and signed by the plaintiffs but was allegedly from “an elite law firm representing the Rotharmels in this matter.” The court concluded that the letter was generated by Callidus AI, an “AI-generated legal research website,” and cautioned the plaintiffs about misrepresenting their status of representation before the court. As such, the court cautioned that if the plaintiffs did actually retain attorneys, these attorneys are required to enter a notice of appearance.",Judicial Opinion
Illinois,Bankr. N.D. Ill.,Gen AI,Attorneys,rg,Generative AI Usage|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Attorneys/Law Firms,sanctions_attorney,2025-07,518,Judge Michael B. Slade,https://caselaw.findlaw.com/court/us-ban-crt-n-d-ill-eas-div/117492696.html,Bankr. N.D. Ill. – Judge Michael B. Slade,,,,,,,,,Bankruptcy Rule 9011,,,,,"In In re Martin, 2025 Bankr. LEXIS 1719 (Bankr. N.D. Ill. July 18, 2025), counsel for the debtor was ordered to show cause as to why they should not be sanctioned for using GenAI to draft certain briefing. During the hearing on the order to show cause, the lead attorney admitted that he did not review the AI-generated citations, as he did not see anything “wrong” with them. Further, he claimed he was unaware that GenAI could perform research and, to that extent, “result in citations to fake cases.” But his law firm testified that the lead attorney’s use of GenAI tools was in direct violation of firm policy banning the use of AI for legal research or the “generation of legal citations without manual verification.” As such, Judge Slade ordered counsel to pay a $5,500 fine and attend a course on the “dangers of AI” held by the National Conference of Bankruptcy Judges. Judge Slade suggested that attorneys like lead counsel cannot claim willful blindness regarding the use of AI and noted that his opinion will “announce loudly and clearly . . . that lawyers blindly relying on generative AI and citing fake cases are violating Bankruptcy Rule 9011 and will be sanctioned.” Additionally, given the complexity of Chapter 13 bankruptcy cases, the court expected counsel to be “more diligent and careful than has been shown here.”",Judicial Opinion
California,Cal. Judicial Branch,Gen AI,"Court Staff,Judges",rg,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2025-07,519,Artificial Intelligence Taskforce,https://jcc.legistar.com/View.ashx?M=F&ID=14303119&GUID=0C94642A-28D3-47C0-8AE9-1E4DE3A96DFC,Judicial Council of California – Artificial Intelligence Task Force,,,,,,,,,,,,,,"The Artificial Intelligence Task Force of the Judicial Council of California recommended a rule ordering all California state courts that do not currently prohibit court staff’s or judicial officers’ use of GenAI to adopt a GenAI use policy by December 15, 2025.",Administrative Order
New York,N.Y. Sup. Ct.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2025-07,520,Judge Nancy M. Bannon,https://law.justia.com/cases/new-york/other-courts/2025/2025-ny-slip-op-33023-u.html,N.Y. Sup. Ct. – Judge Nancy M. Bannon,,,,,,,,,,,,,checked,"In Robinson v. PEARL Delta Funding LLC, 2025 N.Y. Misc. LEXIS 6962 (N.Y. Sup. Ct. July 18, 2025), the defendant alleged in its motion to dismiss that the plaintiff used artificial intelligence to draft certain pleadings and filings. Although the court was unable to confirm the use of any GenAI tool, Judge Bannon noted that using AI in connection with filings is a “sanctionable infraction” and found the plaintiff’s complaint and other filings to be “rambling and often incoherent.” The court ultimately denied the plaintiff’s motion for summary judgment for related coherency reasons but did not address the alleged AI use further.",Judicial Opinion
Indiana,S.D. Ind.,Gen AI,Any Parties,rg,Generative AI Usage|Applies to AI Used for Filings/Drafting,warning,2025-07,521,Judge Tanya Walton Pratt,https://law.justia.com/cases/federal/district-courts/indiana/insdce/1:2025cv00429/220150/60/,S.D. Ind. – Judge Tanya Walton Pratt,,,,,,,,,,,,,checked,"In Parrish v. Miller, 2025 U.S. Dist. LEXIS 137247 (S.D. Ind. July 18, 2025), the plaintiffs included various hallucinated citations in support of their motion for reconsideration. Although the use of AI was not part of the court’s reasoning for denying the plaintiffs’ motion, the court warned that it has “recently admonished and sanctioned parties for submitting briefs containing miscited or non-existent cases.”",Judicial Opinion
Florida,S.D. Fla.,Gen AI,Attorneys,rg,Generative AI Usage|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Attorneys/Law Firms,sanctions_attorney,2025-07,522,Judge David S. Leibowitz,https://www.law360.com/articles/2366083/attachments/0,S.D. Fla. – Judge David S. Leibowitz,,,,,,,,,"FRCP 11,S.D. Fla. Local Rules",,,,,"In Byoplanet International, LLC v. Gilstrap, No. 0:25-cv-60647-DSL (S.D. Fla. July 17, 2025), the plaintiff’s attorney admitted to repeatedly including hallucinated citations in 8 “separate but related” cases in state and federal court, 4 of which were before Judge Leibowitz. See ECF No. 33 at 1, 4. During a hearing on the court’s order to show cause as to whether the attorney’s repetitive use of AI was done in bad faith, plaintiff’s counsel divulged that he relied on his paralegal for performing assertion checks and did not conduct his own due diligence into the accuracy of his cited authority. Id. at 9. Despite the attorney’s remorse, Judge Leibowitz found that his actions “constitute[d] repeated, abusive, bad-faith conduct that cannot be recognized as legitimate legal practice” in violation of the Federal Rules of Civil Procedure and the Southern District of Florida’s Local Rules. See id. at 10, 20-21. The court focused on the attorney’s use of AI after being on notice that his tool produced hallucinated citations and the attorney’s sole reliance on a non-attorney to draft certain filings without a post-hoc review. See id. at 15-17. As such, the court (i) ordered the dismissal of the four cases pending before him without prejudice, (ii) ordered the plaintiff’s attorney to pay defendants’ attorneys’ fees associated with any response to a filing generated by AI, (iii) required the plaintiff’s attorney to attach a copy of this order to any filing of a new case in this district within the next two years, and (iv) referred the plaintiff’s attorney to the Florida Bar. Id. at 20-21.",Judicial Opinion
California,N.D. Cal.,Gen AI,"Attorneys,Pro Se Litigants",rg,Generative AI Usage|Requires Disclosure and/or Verification|Applies to AI Used for Filings/Drafting,,2025-07,523,Magistrate Judge Peter H. Kang,https://cand.uscourts.gov/sites/default/files/standing-orders/PHK-Civil-Standing-Order_2025.7.16.pdf,N.D. Cal. – Magistrate Judge Peter H. Kang,,checked,Yes,checked,,,checked,checked,"FRCP 11,FRE",checked,checked,checked,,"In his Standing Order for Civil Cases (N.D. Cal. July 16, 2025), Magistrate Judge Peter H. Kang sets forth comprehensive procedures governing the use of GenAI in litigation before his court. The standing order defines GenAI as a category of automated tools “capable of formulating unique content, such as text that has not been expressly programmed into the computer system at issue,” distinguishing it from other AI categories that operate on pre-established algorithms and do not generate original content. The standing order's GenAI provisions do not apply to a party’s use of software for administrative or ministerial tasks, nor to traditional legal research, word processing, spellchecking, grammar checking, or formatting tools. Judge Kang’s standing order addresses three broad topics relating to AI: court filings (i.e., briefs and pleadings); evidence; and confidentiality.With respect to briefs and pleadings, the standing order requires that counsel and pro se parties “competently and responsibly use” GenAI tools in drafting submissions to the court, with “competent training, knowledge, and understanding of the limitations and risks” of such tools. Counsel are expected to abide by California State Bar guidance on AI use and to conduct themselves consistently with ABA Resolution 604's provisions regarding accountability for AI use. Any document submitted to the court whose text was created or drafted with GenAI must be identified as such in its title, caption, a table preceding the body text, or by a separate contemporaneous notice. Counsel must also “maintain records sufficient to identify, if requested by the Court, those portions” of a submission created or drafted by GenAI. Parties and counsel are prohibited from filing any materials containing hallucinated citations, fictitious or non-existent case or legal citations, or “any uncorroboratable assertions of law or fact.” A party's or counsel's failure to confirm the accuracy or existence of a citation created by GenAI is grounds for sanctions.Regarding evidence, the standing order requires that any GenAI-generated evidentiary material be timely disclosed in discovery, accompanied by a notice identifying such material with “sufficient specificity to locate it,” and supported by declarations or sworn testimony addressing authenticity under the Federal Rules of Evidence. Any exhibits, demonstratives, or other materials created with GenAI assistance must be “identified as such” and may not contain hallucinated assertions of fact or “uncorroboratable statements.” Regarding confidentiality, the standing order requires counsel and parties using “publicly available AI tools” (including both GenAI tools as well as “machine learning tools,” various “neural networks,” and “all other forms of [GenAI]”) to comply with any applicable protective order and all ethical and legal obligations, including privilege-related obligations. Counsel must maintain records of all prompts or inquiries submitted to third-party GenAI tools sufficient to establish and corroborate compliance with the standing order. Finally, parties are directed to meet and confer on any GenAI-related issues specific to their case and report on such issues in their Joint Case Management Conference Statements.",Standing Order
Georgia,M.D. Ga.,Gen AI,Attorneys,rg,Generative AI Usage|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Attorneys/Law Firms,sanctions_attorney,2025-07,524,Judge W. Louis Sand,https://www.govinfo.gov/app/details/USCOURTS-gamd-7_24-cv-00136/USCOURTS-gamd-7_24-cv-00136-4,M.D. Ga. – Judge W. Louis Sand,,,,,,,,,,,,,,"In Jackson v. Auto-Owners Ins. Co., 2025 U.S. Dist. LEXIS 133070 (M.D. Ga. July 14, 2025), counsel for the plaintiff cited nine hallucinated cases in his response to the defendant’s motion to dismiss. Counsel admitted to using AI software to assist in drafting the response but remarked that the AI-generated version “was supposed to be used only as a framework” and “was never intended to be filed.” He further apologized to both the court and defense counsel for the time spent reviewing the hallucinated citations and remarked that his law firm was understaffed around the time of the filing. In assessing whether to sanction the plaintiff’s attorney, Judge Sands highlighted the attorney’s failure to either provide a sworn declaration about the creation of the false citations or to even mention the false citations in his initial response to the order to show cause. The court determined that dismissing the case in its entirety would be too harsh, as it would “impose unwarranted sanctions” on the plaintiff. Instead, Judge Sands ordered the plaintiff’s attorney to (i) pay a $1,000 fine, (ii) complete a CLE course on AI within 90 days of the order, (iii) pay the defendant’s attorneys’ fees and costs associated with the review of the hallucinated cases and the attendance of the show cause hearing, and (iv) serve a copy of this order on the Chief Judge of each federal district court in Georgia.",Judicial Opinion
Georgia,"Fulton Cnty. Super. Ct., Ga.",Any AI,"Attorneys,Pro Se Litigants",rg,Any AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification|Applies to AI Used for Research,,2025-07,525,Judge Craig L. Schwall Sr.,https://www.fultonsuperiorcourtga.gov/sites/default/files/judges/forms/schwall-standing_order_re_AI_0.pdf,"Fulton Cnty. Sup. Ct., Ga. – Judge Craig L. Schwall Sr.",,checked,Yes,,,,,,,,checked,,,"Judge Schwall Sr. of the Georgia Fulton County Superior Court issued a standing order that “governs the use of artificial intelligence (‘AI’) tools in the preparation of all briefs, proposed orders, and other written submissions” filed before the court, applicable to both attorneys and pro se litigants. The standing order requires that individuals who use “AI in any capacity to prepare, draft, or review a filing” must disclose the specific AI tools used and certify that the filing (including “every citation”) has been independently reviewed for accuracy. Failure to comply with the disclosure requirement may result in various penalties, including sanctions and dismissal.",Standing Order
Florida,S.D. Fla.,Gen AI,"Attorneys,Pro Se Litigants",rg,Generative AI Usage|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Parties,sanctions_party,2025-07,526,Magistrate Judge William Matthewman,https://dockets.justia.com/docket/florida/flsdce/9:2025cv80128/682828,S.D. Fla. – Magistrate Judge William Matthewman,,,,,,,,,,,,,,"In Crespo v. Tesla, Inc. et al., 2025 WL 1799411 (S.D. Fla. June 30, 2025), the defendant moved to strike the pro se plaintiff’s reply briefs in support of his various motions to compel because the plaintiff included citations to nonexistent authority. The plaintiff’s sole reason for the hallucinated citations was a “flawed workflow process,” though he accepted responsibility for the erroneous submissions. The court ultimately required the plaintiff to submit a written apology to the defendant’s counsel for the frustrations and wasted time associated with reviewing the cited authorities and pay the defendant’s attorneys’ fees associated with this review. Magistrate Judge Matthewman warned that the sanctions being considered “would be much more serious” had the plaintiff not been honest about his use of AI. Later in Crespo v. Tesla, Inc., 2025 U.S. Dist. LEXIS 134498 (S.D. Fla. July 11, 2025), the court found it appropriate for the pro se plaintiff to pay $921.00 out of the requested $1,096.00 in defendant’s attorney fees associated with the review of the hallucinated citations and briefings. Judge Matthewman declined to award the full requested amount after finding that some tasks amongst the attorneys were duplicative of each other.",Judicial Opinion
Ohio,"Ohio Ct. App., 12th Dist.",Gen AI,"Attorneys,Pro Se Litigants",rg,Generative AI Usage|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Parties,sanctions_party,2025-07,527,All Judges,https://law.justia.com/cases/ohio/twelfth-district-court-of-appeals/2025/ca2024-09-069.html,"12th District, Ohio Court of Appeals – All Judges",,,,,,,,,FRCP 11,,,,,"In Smith v. Gamble, 2025 Ohio App. LEXIS 2317 (Ohio App. Ct. July 7, 2025), the appellant moved to strike the appellee’s brief for including “phantom cases and inappropriate, inaccurate citations” in violation of Rule 11 of the court’s Local Rules (which require parties to submit accurate legal authority). Although the court declined to strike the brief, as the arguments asserted in the brief were necessary to address the appellant’s claims on the merits, Judge Piper concluded that the pro se appellee in fact cited to hallucinated authority and granted the appellant’s motion for sanctions, ordering the appellee to pay attorney’s fees, expenses, and costs associated with the search for the non-existent authority.",Judicial Opinion
Oregon,Bankr. D. Or.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Requires Disclosure and/or Verification|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2025-07,528,Judge Terasa H. Pearson,https://www.govinfo.gov/app/details/USCOURTS-orb-3_24-bk-32731/USCOURTS-orb-3_24-bk-32731-0,Bankr. D. Or. – Judge Teresa H. Pearson,,,,,,,,,,,,checked,checked,"In In re Perkins, 2025 Bankr. LEXIS 1627 (Bankr. D. Or. July 7, 2025), in response to the court’s order to show cause, the pro se debtor “admitted that he used artificial intelligence” to conduct research, resulting in cases that were “inaccurate, irrelevant, and useless.” In discussing the various AI-generated citations, the court noted that all parties—regardless of their status of representation—are required to verify the accuracy of all information asserted and cited to in their filings. Judge Pearson ultimately declined to impose sanctions under Rule 9011 of the Federal Rules of Bankruptcy Procedure regarding the assertion of arguments without legal support, as the case was dismissed for other reasons.",Judicial Opinion
Colorado,D. Colo.,Gen AI,Attorneys,rg,Generative AI Usage|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Attorneys/Law Firms,sanctions_attorney,2025-07,529,Judge Nina Y. Wang,https://www.courtlistener.com/docket/63296393/coomer-v-lindell/,D. Colo. – Judge Nina Y. Wang,,,,,,,,,FRCP 11,,,,,"In Coomer v. Lindell, 2025 U.S. Dist. LEXIS 128372 (D. Colo. July 7, 2025), counsel for the defendants included AI-generated citations in their opposition brief to the plaintiff’s omnibus motion in limine. During the final pre-trial conference, defense counsel admitted that they “ran [the brief] through AI” but “did not [cite] check” the result. Emphasizing that “Rule 11 applies to the use of artificial intelligence,” the court expressed skepticism that the incident was “simply an inadvertent error,” held that defense counsel violated Rule 11, and imposed joint and several sanctions of $3,000 on one attorney and his law firm, and individual sanctions of $3,000 on another attorney. Judge Wang declined to sanction the defendants themselves, however, as counsel “confirm[ed] that [he] did not advise” his clients that he used AI tools in his practice.",Judicial Opinion
Louisiana,E.D. La.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Parties,sanctions_party,2025-07,530,Magistrate Judge Donna Phillips Currault,https://www.courtlistener.com/docket/69180895/tijerino-v-spotify-usa-inc/,E.D. La. – Magistrate Judge Donna Phillips Currault,,,,,,,,,FRCP 37,,,,,"In Tijerino v. Spotify USA Inc., 2025 U.S. Dist. LEXIS 127818 (E.D. La. July 7, 2025), as an exhibit to their memorandum in opposition to the pro se plaintiff’s motion to compel, the defendant attached an email thread between the parties where the defendant accused the plaintiff of using AI to “generate a formulaic and inaccurate letter” in preparation of the meet-and-confer and later using AI during the meet-and-confer to provide responses to the defendant’s question that were ultimately contradictory. See ECF No. 44-2 at 17. In fact, the defendant noted that use of the AI tool “made it difficult for [them] to understand [plaintiff’s] position because the position seemed to change based on how the AI program responded to [their] most recent statement.” Id. at 5. The court concluded that the plaintiff “did not confer in good faith” with the defendant as required by Rule 37 of the Federal Rules of Civil Procedure. The court described this failure as “sufficient reason in itself to deny the motion.”",Judicial Opinion
Connecticut,D. Conn.,Gen AI,Pro Se Litigants,rg,Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2025-07,531,Judge Vernon D. Oliver,https://1.next.westlaw.com/Document/Ia1ae84291bf32b69a3e3781088ed7470/View/FullText.html?originationContext=typeAhead&transitionType=Default&contextData=(sc.Default),D. Conn. – Judge Vernon D. Oliver,,,,,,,,,,,,,checked,"In Roark v. American Airlines Group, Inc., No. 3:24-cv-01695, Dkt. No. 54 (D. Conn. July 3, 2025), in an order via docket entry granting the plaintiff’s motion to set aside the default judgment, the court noted that the pro se defendant’s memorandum in opposition to the plaintiff’s motion was “rife with phantom cases and nonexistent case law.” The court ultimately declined to impose sanctions on the defendant—notwithstanding his pro se status—because he appeared to “observe[] the Court’s [prior] warning about an overreliance on AI.”",Judicial Opinion
Oklahoma,W.D. Okla.,Gen AI,Attorneys,rg,Generative AI Usage|Requires Disclosure and/or Verification|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2025-07,532,Judge Scott L. Palk,https://1.next.westlaw.com/Document/I671abf00590511f086ade3c1d65bd673/View/FullText.html?originationContext=typeAhead&transitionType=Default&contextData=(sc.Default),W.D. Okla. – Judge Scott L. Palk,,,Yes,,,,,,,,,checked,checked,"In Hill v. State of Oklahoma ex rel. Oklahoma Medical Marijuana Authority, 2025 WL 1840659 (W.D. Okla. July 3, 2025), the plaintiff’s counsel included “inaccurate, nonexistent” citations in their response to the defendant’s motion to dismiss. The court concluded that the citations were either generated by AI or the product of “exceptionally sloppy work.” The court declined to impose sanctions on plaintiff’s counsel but warned of the risk of sanctions should future briefings contain hallucinated citations. Judge Palk also emphasized that plaintiff’s counsel failed to follow Chambers Rules, which require parties to disclose whether any GenAI tool was used in drafting a filing and to verify that all cited authority is accurate.",Judicial Opinion
California,C.D. Cal.,Any AI,"Attorneys,Any Parties",rg,Any AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Research|Applies to AI Used for Filings/Drafting,,2025-07,533,Judge Fernando M. Olguin,https://apps.cacd.uscourts.gov/JpsApi/file/bd1c7516-3cae-41b8-a4da-4ddf08b1e138,C.D. Cal. – Judge Fernando M. Olguin,,checked,,,,,,,FRCP 11,,,,checked,"Under Section IV(A)(5) of his standing order, Judge Olguin requires that “[i]f any party or attorney uses an artificial intelligence tool in the preparation of any filing, the submission of that document signifies that the individual responsible for the filing has certified that she/he reviewed all source material and verified the accuracy of any AI content.” Judge Olguin also cites to Federal Rule of Civil Procedure 11, indicating some possibility that noncompliance with his rule may implicate the federal rule governing sanctions. Although Judge Olguin’s standing order does not require additional steps to reflect or disclose the use of AI, his order makes clear that the party or attorney’s submission of the document itself constitutes an affirmation that it has been reviewed for accuracy.",Standing Order
Oregon,D. Or.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Requires Disclosure and/or Verification|Applies to AI Used for Filings/Drafting,warning,2025-06,534,Judge Michael H. Simon,https://www.westlaw.com/Document/Ied7ff220527211f08744dbba8e4e0a32/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,D. Or. – Judge Michael H. Simon,,,,,,,,,,,,checked,checked,"In Schoene v. Or. Dep’t of Hum. Servs., 2025 WL 1755839 (D. Or. June 25, 2025), in which the pro se plaintiff filed a motion to amend her complaint, the court briefly noted that she “cited several cases in her reply brief . . . [that] do not exist” and which “appear to be hallmarks of an artificial intelligence (‘AI’) tool, such as ChatGPT.” Although Judge Simon did not impose sanctions on the plaintiff, he noted that “a basic internet search seeking guidance on whether it is advisable to use AI tools to conduct legal research or draft legal briefs will explain that any legal authorities or legal analysis generated by AI needs to be verified,” and cautioned the plaintiff to verify the accuracy of future citations. The court ultimately denied the motion to amend on other grounds after granting defendants’ motion for summary judgment.",Judicial Opinion
New York,S.D.N.Y.,Gen AI,Pro Se Litigants,rg,Generative AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2025-06,535,Judge Gregory H. Woods,https://dockets.justia.com/docket/new-york/nysdce/1:2025cv02857/640127,S.D.N.Y. – Judge Gregory H. Woods,,,,,,,,,FRCP 11,,,,checked,"In Romero v. Goldman Sachs Bank USA, 2025 U.S. Dist. LEXIS 132891 (S.D.N.Y. June 25, 2025), the pro se plaintiff included two hallucinated citations in his motion in limine that “[bore] the emblems of the use of a generative artificial intelligence tool.” Given the plaintiff’s unrepresented status, Judge Woods sought to remind the plaintiff of his obligations under Rule 11 of the Federal Rules of Civil Procedure regarding the assertion of non-frivolous arguments and proper legal support. The court ultimately declined to impose sanctions at this point in time but warned that further use of hallucinated citations or quotations by either party could result in sanctions as evidence of bad faith.",Judicial Opinion
California,E.D. Cal.,Gen AI,Attorneys,rg,Generative AI Usage|Applies to AI Used for Filings/Drafting|Court-Imposed Consequences - Attorneys/Law Firms,sanctions_attorney,2025-06,536,Judge Danial J. Calabretta,https://docs.justia.com/cases/federal/district-courts/california/caedce/2:2025cv01222/464167/19,E.D. Cal. – Judge Daniel J. Calabretta,,,,,,,,,FRCP 11,,,,,"In Allen v. Mercedes-Benz USA, LLC, 2025 U.S. Dist. LEXIS 119649 (E.D. Cal. June 23, 2025), the plaintiff’s counsel included two “fabricated quotations” in a reply brief. When ordered to illustrate the source of the quotations, counsel neglected to do so and included another false citation in his response. Judge Calabretta found that plaintiff’s counsel violated both Rule 11 of the Federal Rules of Civil Procedure for failing to “investigate the caselaw” and Local Rule 180(e) for failing to adhere to the California bar’s ethics rules against “knowingly mak[ing] a false statement of fact or law . . . or fail[ing] to correct a false statement of material fact or law.” The court referred the matter to the State Bar of California.",Judicial Opinion
Texas,S.D. Tex.,Gen AI,"Attorneys,Pro Se Litigants",rg,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2025-06,537,Judge John A. Kazen,https://www.txs.uscourts.gov/sites/txs/files/Crim_Court_Rules_JAK_June_2025.pdf,S.D. Tex. – Judge John A. Kazen,,checked,,,,,,,,,,checked,,"Section 7 of Judge Kazen’s Court Procedures in Criminal Cases requires pro se litigants and counsel to ensure that any material drafted with assistance from a GenAI tool is “thoroughly reviewed for factual and legal accuracy prior to submission.” This verification requirement coincides with attorneys’ obligations under the Texas Disciplinary Rules of Professional Conduct to make truthful legal assertions and maintain their duty of candor to the court. Those who violate this procedure may be subject to sanctions, regardless of whether the filing was prepared by GenAI, staff, or others.",Standing Order
Virginia,E.D. Va.,Any AI,Any Parties,rg,Any AI Usage|Requires Disclosure and/or Verification|Applies to AI Used for Filings/Drafting,,2025-06,538,Magistrate Judge Lindsey R. Vaala,https://dockets.justia.com/docket/virginia/vaedce/1:2025cv00112/567238,E.D. Va. –  Magistrate Judge Lindsey R. Vaala,,checked,Yes,,,,,,,,,,,"In Mwakalindile v. Truist Bank Corporation, Case No. 1:25-cv-00112, Dkt. No. 55 (E.D. Va. June 20, 2025), after both plaintiff and defendant filed briefs in which they mentioned “the potential use of artificial intelligence platforms and services,” Magistrate Judge Vaala ordered that any utilization of AI “for the preparation of any filing” requires the party using AI to both identify such use and provide certification “affirming that the party has reviewed all citations for accuracy.”",Administrative Order
Kentucky,W.D. Ky.,Any AI,"Attorneys,Pro Se Litigants",rg,Any AI Usage|Suggests Cautious Use of AI|Applies to AI Used for Filings/Drafting,warning,2025-06,539,Judge Rebecca Grady Jennings,https://www.westlaw.com/Document/Ifb4550f0501311f09d2a9f6d6f6bfa78/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,W.D. Ky – Judge Rebecca Grady Jennings,,,,,,,,,FRCP 11,,,,checked,"In Buckner v. Hilton Glob., 2025 WL 1725426 (W.D. Ky. June 20, 2025), the pro se plaintiff sought to have the judge recused and “chastised the Court for commenting on [his] citation to nonexistent caselaw” in its prior opinion (where the court previously warned the plaintiff that his pro se status “will not be tolerated as an excuse for citing nonexistent case law,” 2025 WL 890175, at *15 (W.D. Ky. Mar. 21, 2025)). Judge Jennings addressed the plaintiff’s critique, holding that although courts are to “construe filings by pro se litigants liberally,” the court nonetheless has an “obligation to prevent fraud on the court from misuse of [AI],” such as through the inclusion of hallucinated cases in court filings. The court further likened the use of AI to draft legal filings to “ghostwriting,” which “‘evades the requirements’ of Rule 11” and “creates serious concerns for maintaining candor to the Court.” The court concluded that the plaintiff’s “citation to nonexistent case law . . . directly violates his duty of candor,” wastes the time and money of both opposing counsel and the court, and is not a proper basis for recusal.",Judicial Opinion
